DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-06-30,Tropical Fruits,Rambutan ,0.258,4.644,4.644
2016-06-30,Veggies,Beans Snake,8.08,72.6392,40.319199999999995
2016-06-30,capsicum,Capsicum yellow,2.288,14.872000000000003,14.872000000000003
2016-06-30,carrots,Carrots ,120.39000000000003,204.663,204.663
2016-06-30,coconut Products,Premium 5k Pattu,1.0,13.5,2.8800000000000012
2016-06-30,trutaste,Almonds Natural 500g,1.0,9.99,2.24
2016-07-31,Apples,apple pink lady 2kg,2.0,10.0,4.0
2016-07-31,Asian Vegies,Pac choy,4.0,3.6,1.6
2016-07-31,Avocadoes,Avocado Small Hass,19.0,47.5,38.0
2016-07-31,Bananas,Banana Cavendish,1552.3179999999968,3089.112819999995,-15.523180000000028
2016-07-31,Berries,Berries Strawberry (large),64.0,243.20000000000013,30.079999999999984
2016-07-31,Bunch Vegies,beetroot Golden Delicious,2.66,13.273400000000002,13.273400000000002
2016-07-31,Cabbages,Cabbage Savoy,30.0,149.69999999999996,149.69999999999996
2016-07-31,Chillies,chilli Jalapeno,0.226,2.2600000000000002,2.2600000000000002
2016-07-31,Citrus,3kg Valencia Oranges,1.0,4.5,2.5
2016-07-31,Cucumbers,Cucumber Lebanese,111.91600000000003,558.4608399999998,558.4608399999998
2016-07-31,Cut Fruits,Rockmelon Half,1.0,1.0,0.0
2016-07-31,Cut Veggies,Celery half,47.0,89.30000000000004,89.30000000000004
2016-07-31,Eggs,egg free range 600g,70.0,293.9999999999997,70.0
2016-07-31,Flowers,Bunch Roses,5.0,45.0,5.0
2016-07-31,Grapes,Basil Seed 100g(casa casa),2.0,7.98,1.9800000000000004
2016-07-31,Groceries-Dry Goods, Hibiscus Tea,1.0,3.5,1.67
2016-07-31,Herbs,Mint Vietnamese,1.0,3.5,3.5
2016-07-31,Kalamata olives,Barley Rusk Samaria,1.0,7.0,2.0
2016-07-31,Lettuces,Snow pea Tendrils,1.0,19.0,19.0
2016-07-31,Melons,Gold Honeydew,8.0,32.0,12.0
2016-07-31,Multi buy,Black pepper Powder100g pattu,10.0,29.900000000000006,12.900000000000007
2016-07-31,Mushrooms,Mushroom Brown,2.606,26.03394,26.03394
2016-07-31,Nuts,Coconut Vinigar 750ml,1.0,3.2,0.9400000000000004
2016-07-31,Olympian Products,Almond Cresent 250g,2.0,9.07272727272728,2.0727272727272794
2016-07-31,Onions,5kg brown Onion,1.0,5.5,5.5
2016-07-31,Other Fruits,Quinces,46.546,232.26454000000007,227.6099400000001
2016-07-31,Other Vegies,Zucchini Lebanese,0.498,1.7380200000000001,1.7380200000000001
2016-07-31,Pastas,Peeled Plum Tomatoes,44.0,43.56000000000002,13.640000000000002
2016-07-31,Pears,pear Bosc,10.578000000000001,31.62822,5.183220000000002
2016-07-31,Potatoes,potato Red 4kg,3.0,21.0,12.0
2016-07-31,Pumpkins,Pumpkin Grey,30.128,59.95472,59.95472
2016-07-31,Root Vegies,Turmeric,0.686,17.150000000000002,-13.72
2016-07-31,Sri Lankan Groceries, Mango Chutney 450g der,1.0,4.99,1.5900000000000003
2016-07-31,Tomatoes,tomato sweet cherry vine,4.0,10.0,10.0
2016-07-31,Tropical Fruits,Passionfruit,3.0,2.9699999999999998,2.9699999999999998
2016-07-31,Veggies,Galangal,0.166,2.988,2.158
2016-07-31,capsicum,Capsicum yellow,2.1900000000000004,14.235000000000001,14.235000000000001
2016-07-31,carrots,Carrots ,149.74600000000004,254.56820000000002,254.56820000000002
2016-07-31,coconut Products,Brinjal Pickle 400g,1.0,5.2,1.25
2016-07-31,trutaste,Pol Sambol,1.0,4.99,1.2400000000000002
2016-08-31,Apples,Golden Delicious 1Kg Punnet,1.0,2.99,2.99
2016-08-31,Asian Vegies,Pac choy,4.0,3.6,1.6
2016-08-31,Avocadoes,Avocado Small Hass,7.0,17.5,14.0
2016-08-31,Bananas,Bananas Ladyfinger,1.352,6.4895999999999985,0.4055999999999997
2016-08-31,Berries,Berries Strawberry (large),89.0,338.2000000000005,41.82999999999995
2016-08-31,Bunch Vegies,Radish White Bunch,4.0,14.0,14.0
2016-08-31,Cabbages,Cabbage Wombok,22.0,33.0,-49.5
2016-08-31,Chillies,Thai Green Chilli,0.812,20.299999999999994,20.299999999999994
2016-08-31,Citrus,2kg Marsh Grapefruit ,1.0,5.0,2.0
2016-08-31,Cucumbers,Cucumber Lebanese,121.73199999999999,607.4426799999997,607.4426799999997
2016-08-31,Cut Veggies,wombok half,37.0,92.5,18.5
2016-08-31,Eggs,egg free range 600g,66.0,277.1999999999997,66.0
2016-08-31,Flowers,Bunch Roses,25.0,225.0,25.0
2016-08-31,Grapes,Ohanez Grapes,14.418,57.527820000000006,57.527820000000006
2016-08-31,Groceries-Dry Goods, Hibiscus Tea,1.0,3.5,1.67
2016-08-31,Herbs,Basil Thai,1.0,3.0,3.0
2016-08-31,Kalamata olives,Virgin Olive Oil 500ml,1.0,8.99,1.91
2016-08-31,Lettuces,Lettuce Rocket,2.300000000000001,46.000000000000014,46.000000000000014
2016-08-31,Melons,Gold Honeydew,4.0,16.0,6.0
2016-08-31,Multi buy,choy sum 2 for $ 1.99,1.0,1.99,-0.010000000000000007
2016-08-31,Mushrooms,King Oyster Baby,1.0,3.7,3.7
2016-08-31,Nuts,Apple Rings 500g,1.0,7.0,1.75
2016-08-31,Olympian Products,Cinnamon 15g,1.0,1.3,0.5
2016-08-31,Onions,Salad Onion,4.0,6.0,6.0
2016-08-31,Other Fruits,Persimmons,7.452,6.7068,6.7068
2016-08-31,Other Vegies,Peas sugar snap,0.48200000000000004,4.81518,4.81518
2016-08-31,Pastas,Rigatoni No.58,3.0,2.9699999999999998,2.9699999999999998
2016-08-31,Pears,Pear Nashi,9.068,27.113320000000005,-9.158679999999999
2016-08-31,Potatoes,potato Red 4kg,3.0,21.0,12.0
2016-08-31,Pumpkins,Pumpkin Butternut,106.93599999999996,212.80264,212.80264
2016-08-31,Root Vegies,Turmeric,0.5880000000000001,14.699999999999998,-11.759999999999998
2016-08-31,Sri Lankan Groceries, Mango Chutney 450g der,1.0,4.99,1.5900000000000003
2016-08-31,Tomatoes,tomatoes Grape ,25.0,74.75000000000001,74.75000000000001
2016-08-31,Tropical Fruits,Lychees ,0.284,4.25716,4.25716
2016-08-31,Veggies,Galangal,0.20600000000000002,3.708,2.678
2016-08-31,capsicum,Hungarian Capsicum,1.4460000000000002,7.21554,7.21554
2016-08-31,carrots,Carrots ,132.47699999999992,225.21089999999998,225.21089999999998
2016-08-31,coconut Products,Brinjal Pickle 400g,1.0,5.2,1.25
2016-08-31,trutaste,Chick Peas R & S,1.0,4.99,2.0900000000000003
2016-09-30,Apples,apple Jazz,0.89,5.3311,3.5511
2016-09-30,Asian Vegies,Cooking Banana,0.858,5.99742,2.99442
2016-09-30,Avocadoes,Avocado Small Hass,17.0,42.5,34.0
2016-09-30,Bananas,Banana Cavendish,1423.7360000000024,2833.234639999999,-14.237360000000006
2016-09-30,Berries,Berries Blueberry,41.0,143.5,143.5
2016-09-30,Bunch Vegies,Watercress,6.0,17.94,17.94
2016-09-30,Cabbages,Cabbage red,1.0,4.5,4.5
2016-09-30,Chillies,Thai Green Chilli,1.1740000000000004,29.349999999999994,29.349999999999994
2016-09-30,Citrus,Grapefruit yellow,0.312,0.992727272727272,0.992727272727272
2016-09-30,Cucumbers,Cucumber Lebanese,99.91600000000004,498.5808399999999,498.5808399999999
2016-09-30,Cut Fruits,Rockmelon Half,5.0,5.0,0.0
2016-09-30,Cut Veggies,cabbage  quater green ,5.0,8.5,8.5
2016-09-30,Eggs,Rosa Kekulu Samba5kg kandyan,1.0,12.99,3.2900000000000014
2016-09-30,Flowers,Bunch Roses,16.0,144.0,16.0
2016-09-30,Fruits,Kensington Pride Mango,63.0,126.0,126.0
2016-09-30,Grapes,Ohanez Grapes,1.532,6.11268,6.11268
2016-09-30,Groceries-Dry Goods,Lift 390ml,1.0,3.0,1.59
2016-09-30,Herbs,Garlic chives,1.0,7.99,6.99
2016-09-30,Kalamata olives,Pasta short,1.0,5.0,1.5
2016-09-30,Lettuces,Lettuce Rocket,1.5520000000000007,31.04,31.04
2016-09-30,Melons,Piel de Sapo Melon,4.0,11.96,-0.03999999999999915
2016-09-30,Multi buy,Gold Kiwi 2 for,1.0,3.0,1.2
2016-09-30,Mushrooms,Mushroom Button,0.9460000000000001,10.396540000000002,10.396540000000002
2016-09-30,Nuts,Clove 50g Kandyan,2.0,6.72727272727272,1.7272727272727195
2016-09-30,Olympian Products,Egg pasta large 250g,2.0,4.98,1.7800000000000002
2016-09-30,Onions,Garlic 500g,2.0,4.98,0.9800000000000004
2016-09-30,Other Fruits,Quinces,12.091999999999997,60.33908,59.12988000000001
2016-09-30,Other Vegies,Celery Pieces,1.294,6.3406,3.7526000000000006
2016-09-30,Pastas,Pennette No.59,2.0,2.4,2.4
2016-09-30,Pears,Red Nashi Pear,1.578,3.92922,-0.015779999999999902
2016-09-30,Potatoes,Taro,16.35,163.33650000000003,81.5865
2016-09-30,Pumpkins,Wijaya fish curry Powder 70g,3.0,5.97,2.67
2016-09-30,Root Vegies,Turmeric,0.6200000000000001,15.500000000000002,-12.4
2016-09-30,Sri Lankan Groceries,Derana white keeri samba 5kg,1.0,17.5,3.9
2016-09-30,Tomatoes,Black Russian Tomato,1.17,11.6883,4.0833
2016-09-30,Tropical Fruits,Pineapple,9.0,40.5,40.5
2016-09-30,Veggies,Jerusalem Artichokes,1.804,9.00196,9.00196
2016-09-30,capsicum,Hungarian Capsicum,1.8639999999999999,9.30136,9.30136
2016-09-30,carrots,Carrots ,98.48800000000003,167.42959999999997,167.42959999999997
2016-09-30,coconut Products,Chick Peas 1kg Pattu,2.0,7.98,3.58
2016-09-30,markdown bag,Mark down Bag ***,40.0,40.0,40.0
2016-09-30,trutaste,Raisins 500g,1.0,4.99,2.1900000000000004
2016-10-31,Apples,Apple Granny smith 2kg Bags,3.0,13.5,4.5
2016-10-31,Asian Vegies,Pak choy,1.0,1.2,0.7
2016-10-31,Avocadoes,Avocado Small Hass,2.0,5.0,4.0
2016-10-31,Bananas,Bananas Ladyfinger,8.124,38.9952,2.4371999999999985
2016-10-31,Berries,Berries Strawberry (large),40.0,152.00000000000003,18.799999999999997
2016-10-31,Bunch Vegies, Rape,7.0,21.0,3.5
2016-10-31,Cabbages,Cabbage red,3.0,13.5,13.5
2016-10-31,Chillies,Thai Green Chilli,0.548,13.7,13.7
2016-10-31,Citrus,Tangelos,4.816000000000001,9.58384,4.76784
2016-10-31,Cucumbers,Cucumber Lebanese,142.23000000000008,709.7276999999993,709.7276999999993
