DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-06-30,Nuts,chest Nuts,19.333999999999996,174.00599999999997,0.19333999999999674
2016-06-30,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-06-30,Onions,Onion Pickling,9.138000000000002,18.18462,4.47762
2016-06-30,Other Fruits,Figs,42.0,63.0,63.0
2016-06-30,Other Vegies,Celery Pieces,0.194,0.9506,0.5626
2016-06-30,Pastas,Peeled Plum Tomatoes,28.0,27.719999999999988,8.68
2016-06-30,Pears,Pear Nashi,19.485999999999997,58.26314,-19.68086
2016-06-30,Potatoes,Brushed Potatoes 5kg bag,33.0,164.67000000000004,16.17000000000001
2016-06-30,Pumpkins,Wijaya fish curry Powder 70g,1.0,1.99,0.8899999999999999
2016-06-30,Root Vegies,Turmeric,0.412,10.3,-8.240000000000002
2016-06-30,Sri Lankan Groceries,Link Samahan 5 Pac ,1.0,1.31818181818182,0.2681818181818201
2016-06-30,Stonefruits,peaches white,7.896,27.636,27.636
2016-06-30,Tomatoes,cherry Truss tomato,6.0,18.0,-3.0
2016-06-30,Tropical Fruits,Passionfruit,2.0,1.98,1.98
2016-06-30,Veggies,Kalamata Olives,33.522999999999996,167.61499999999998,16.761499999999998
2016-06-30,capsicum,Capsicum yellow,2.288,14.872000000000003,14.872000000000003
2016-06-30,carrots,Carrots 1kg,179.0,266.71000000000055,123.50999999999978
2016-06-30,coconut Products,Virgin Coconut Oil organic Frank,1.0,4.99,0.91
2016-06-30,trutaste,Pistachios Salted 350g,4.0,40.0,0.3999999999999985
2016-07-31,Apples,apple pink lady 2kg,2.0,10.0,4.0
2016-07-31,Asian Vegies,bitter melon,24.432,109.944,-12.216
2016-07-31,Avocadoes,Avocado Hass Medium,368.0,732.3200000000019,-371.6799999999989
2016-07-31,Bananas,Banana Cavendish,1552.3179999999968,3089.112819999995,-15.523180000000028
2016-07-31,Berries,Berries Strawberry (large),64.0,243.20000000000013,30.079999999999984
2016-07-31,Bunch Vegies,Red Radish bunch,14.0,25.200000000000006,-9.799999999999999
2016-07-31,Cabbages,Cabbage Wombok,32.0,48.0,-72.0
2016-07-31,Chillies,chilli Jalapeno,0.226,2.2600000000000002,2.2600000000000002
2016-07-31,Citrus,Gold Nugget700g,2.0,4.0,-0.4000000000000003
2016-07-31,Cucumbers,Cucumber continental,273.0,409.5,409.5
